platform,period,frequency,scope,unit,source_id,source_url,source_file,source_page,status,indonesia_country_pair_confirmed,tpv,tpv_source_line,revenue,revenue_source_line,gpbd,gpbd_source_line
Blibli/GDN,2025Q4,quarter,Institutions,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,5335.0,"-    Institutions                                                 5,335                   3,341                 60                15,291                11,649                    31",3130.0,"-    Institutions                                                 3,130                   1,635                  91               8,955                 5,671                    58",342.0,-    Institutions                                                   342                    201                  70                   991                  759                     31
Blibli/GDN,2025Q4,quarter,Physical Stores,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,2554.0,"-    Physical Stores                                              2,554                  1,650                   55               8,425                 6,250                    35",2199.0,"-    Physical Stores                                              2,199                   1,403                 57                7,026                 5,392                    30",424.0,"-    Physical Stores                                                424                    368                  15                 1,745                 1,247                   40"
Blibli/GDN,2025Q4,quarter,Group,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,22703.0,"Total TPV                                                       22,703                  21,044                    8              83,316                77,410                      8",7122.0,"Total Net Revenues                                                 7,122                  4,584                  55               22,361                16,716                    34",1984.0,"Total GPBD                                                         1,984                  1,605                  24                7,083                 5,364                    32"
Blibli/GDN,2024Q4,quarter,1P Retail,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1423.0,"-    1P Retail                                                     1,791                  1,423                  26                6,413                 5,301                    21",1122.0,"-    1P Retail                                                    1,344                    1,122                20                4,829                 4,269                     13",311.0,"-    1P Retail                                                      456                     311                 47                1,500                   859                    75"
Blibli/GDN,2024Q4,quarter,3P Retail,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,14630.0,"-    3P Retail                                                   13,023                 14,630                  (11)             53,187                54,210                    (2)",424.0,"-    3P Retail                                                     449                      424                   6                1,551                1,384                     12",725.0,"-    3P Retail                                                      762                    725                   5                2,847                 2,499                     14"
Blibli/GDN,2024Q4,quarter,Institutions,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,3341.0,"-    Institutions                                                 5,335                   3,341                 60                15,291                11,649                    31",1635.0,"-    Institutions                                                 3,130                   1,635                  91               8,955                 5,671                    58",201.0,-    Institutions                                                   342                    201                  70                   991                  759                     31
Blibli/GDN,2024Q4,quarter,Physical Stores,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,1650.0,"-    Physical Stores                                              2,554                  1,650                   55               8,425                 6,250                    35",1403.0,"-    Physical Stores                                              2,199                   1,403                 57                7,026                 5,392                    30",368.0,"-    Physical Stores                                                424                    368                  15                 1,745                 1,247                   40"
Blibli/GDN,2024Q4,quarter,Group,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,21044.0,"Total TPV                                                       22,703                  21,044                    8              83,316                77,410                      8",4584.0,"Total Net Revenues                                                 7,122                  4,584                  55               22,361                16,716                    34",1605.0,"Total GPBD                                                         1,984                  1,605                  24                7,083                 5,364                    32"
Blibli/GDN,2025FY,annual,1P Retail,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,6413.0,"-    1P Retail                                                     1,791                  1,423                  26                6,413                 5,301                    21",4829.0,"-    1P Retail                                                    1,344                    1,122                20                4,829                 4,269                     13",1500.0,"-    1P Retail                                                      456                     311                 47                1,500                   859                    75"
Blibli/GDN,2025FY,annual,3P Retail,IDR billion,blibli_fy2025_linked_0,https://asset-about.blibli.com/2026/03/Earnings-Release-FY25-PT-Global-Digital-Niaga-Tbk-.pdf,raw_sources/blibli_fy2025_linked_0.pdf,2,reported_cells_extracted; geography_and_scope_review_pending,no,53187.0,"-    3P Retail                                                   13,023                 14,630                  (11)             53,187                54,210                    (2)",1551.0,"-    3P Retail                                                     449                      424                   6                1,551                1,384                     12",2847.0,"-    3P Retail                                                      762                    725                   5                2,847                 2,499                     14"
